student_id,grade,age,gender,race_latinx,race_black,race_amerind,race_white,race_asian,race_other,race_none,parent_1,parent_2,school_adults_value,feel_safer_clear,feel_safer_punish,feel_safer_security,feel_safer_consistent,feel_safer_leaders,feel_safer_relats,feel_safer_counselor,feel_safer_team,feel_safer_other,feel_safer_training,feel_safer_clear_rank,feel_safer_punish_rank,feel_safer_consistent_rank,feel_safer_security_rank,feel_safer_training_rank,feel_safer_leaders_rank,feel_safer_relats_rank,feel_safer_team_rank,feel_safer_counselor_rank,feel_safer_other_rank,parent_qual,sm_none,sm_age,adults_worry,sm_ever_made_mean,sm_ever_stalker,sm_ever_bad_post,sm_ever_got_mean,sm_ever_trouble,sm_ever_stalked,tell_friend,tell_teacher,tell_counselor,tell_parent,tell_principal,tell_family,tell_other,tell_no_one,school_values_red,sm_more_helpful_red,bully,sm_less_real_r,qual,support_score,belong_score,sm_platforms,sm_attitude_score,p_safety_score,e_safety_score,parent_support_score,school_support_score,sm_help_score,sm_concern_score,discrimination,school_rules
1,8,14,Male,0,0,0,1,0,0,0,Finished a four-year college,"Finished a graduate degree (like a master's degree, PhD, MD, or a law degree)",Academics,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,3,1,2,0,0,ach,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1.444444444,1,happy,4,3.1818181818181817,0.1,1.4,4,4,2,3,4,3.125,1,3.7777777777777777
3,8,13,Male,0,0,0,0,0,1,0,Finished a four-year college,"Finished a graduate degree (like a master's degree, PhD, MD, or a law degree)",Caring,0,0,0,0,0,1,0,0,1,1,0,0,0,0,2,0,3,0,0,1,ach,1,20,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,2,1,care,3,2.4545454545454546,0,1.2,4,4,2,2.625,3.4444444444444446,2.875,1.8888888888888888,3.3333333333333335
4,8,14,Male,0,0,0,1,0,0,0,"Finished a graduate degree (like a master's degree, PhD, MD, or a law degree)","Finished a graduate degree (like a master's degree, PhD, MD, or a law degree)",Caring,0,1,0,0,1,0,1,0,0,0,0,3,0,0,0,1,0,0,2,0,happy,0,13,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,happy,4,2.5454545454545454,0.3,1.2,4,4,1.875,2.75,4.222222222222222,3.25,1.2222222222222223,4.666666666666667
5,7,12,Female,1,0,0,1,1,0,0,"Finished a graduate degree (like a master's degree, PhD, MD, or a law degree)","Finished a graduate degree (like a master's degree, PhD, MD, or a law degree)",Academics,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,3,0,happy,0,10,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1.555555556,1,care,4,3.090909090909091,0.3,1.4,3.857142857142857,3.857142857142857,2.75,2.875,4.555555555555555,2.5,1.3333333333333333,4.666666666666667
6,8,14,Female,0,0,0,1,0,0,0,Finished a four-year college,Finished a four-year college,Caring,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,ach,0,13,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1.333333333,1,ach,2.375,2.8181818181818183,0.4,1.4,4,3.2857142857142856,1.125,2,3.888888888888889,4,2.6666666666666665,3.4444444444444446
7,8,13,Female,1,0,0,1,0,0,0,High school or GED,"Finished a graduate degree (like a master's degree, PhD, MD, or a law degree)",Academics,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,2,3,0,0,happy,0,13,2,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1.111111111,2,ach,3.5,3,0.2,1.2,3.7142857142857144,3.4285714285714284,1.25,1.375,4.111111111111111,4.375,1,4
8,8,14,Male,0,0,0,1,0,0,0,Finished a four-year college,Finished a four-year college,Caring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ach,0,11,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,care,5,4,0.5,1.4,4,4,1,2.875,3.2222222222222223,1.375,1,5
9,8,13,Male,0,0,0,1,0,0,0,"Finished a graduate degree (like a master's degree, PhD, MD, or a law degree)","Finished a graduate degree (like a master's degree, PhD, MD, or a law degree)",Caring,0,0,0,1,1,0,0,0,0,1,0,0,3,0,1,2,0,0,0,0,ach,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1.111111111,1,happy,3,3.1818181818181817,0,1.2,4,4,1,2,1,1,1,4.222222222222222
10,8,13,Male,0,0,0,1,0,0,0,"Finished a graduate degree (like a master's degree, PhD, MD, or a law degree)","Finished a graduate degree (like a master's degree, PhD, MD, or a law degree)",Caring,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,happy,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1.444444444,2,ach,3.875,3.1818181818181817,0,1.8,3.5714285714285716,3.4285714285714284,1,1.75,3.6666666666666665,3.5,1.4444444444444444,5
11,8,14,Male,0,0,0,1,0,0,0,Finished a four-year college,Finished a four-year college,Caring,1,0,0,1,1,0,0,0,0,0,3,0,2,0,0,1,0,0,0,0,care,0,13,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,2.222222222,1,happy,3.875,2.4545454545454546,0.6,1,3.7142857142857144,3.2857142857142856,1.75,1.625,3.6666666666666665,3.25,1.7777777777777777,3.4444444444444446
12,7,12,Male,0,1,0,0,0,0,0,Finished a four-year college,Finished a four-year college,Other,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,ach,0,12,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1.333333333,1,ach,2.5,2.6363636363636362,0,1.2,4,4,1.625,1.875,1.6666666666666667,1,1.6666666666666667,3.6666666666666665
