"NO_CINE_AREA_GERAL","NU_ANO_CENSO","QT_CONC_FEM","QT_CONC_MASC","QT_CONC"
"Agricultura e veterinária",2002,719,1004,1723
"Ciências sociais, negócios e direito",2002,15701,14973,30674
"Ciências, matemática e computação",2002,3110,3752,6862
"Educação",2002,11501,4441,15942
"Engenharia, produção e construção",2002,1128,2195,3323
"Humanidades e artes",2002,1332,842,2174
"Programas ou Cursos Gerais",2002,0,0,0
"Saúde e bem estar social",2002,6366,2318,8684
"Serviços",2002,1530,644,2174
"Agricultura e veterinária",2001,528,830,1358
"Ciências sociais, negócios e direito",2001,14215,13562,27777
"Ciências, matemática e computação",2001,2518,2992,5510
"Educação",2001,5286,2715,8001
"Engenharia, produção e construção",2001,899,1808,2707
"Humanidades e artes",2001,974,628,1602
"Saúde e bem estar social",2001,4926,1736,6662
"Serviços",2001,589,173,762
"Agricultura e veterinária",2002,719,1004,1723
"Ciências sociais, negócios e direito",2002,15701,14973,30674
"Ciências, matemática e computação",2002,3110,3752,6862
"Educação",2002,11572,4499,16071
"Engenharia, produção e construção",2002,1128,2195,3323
"Humanidades e artes",2002,1332,842,2174
"Saúde e bem estar social",2002,6366,2318,8684
"Serviços",2002,1530,644,2174
"Agricultura e veterinária",2003,575,911,1486
"Ciências sociais, negócios e direito",2003,17428,17132,34560
"Ciências, matemática e computação",2003,3322,4176,7498
"Educação",2003,14137,5613,19750
"Engenharia, produção e construção",2003,1049,1968,3017
"Humanidades e artes",2003,1528,889,2417
"Saúde e bem estar social",2003,8015,2650,10665
"Serviços",2003,1788,656,2444
"Agricultura e veterinária",2004,852,1342,2194
"Ciências sociais, negócios e direito",2004,20303,19570,39873
"Ciências, matemática e computação",2004,4384,5769,10153
"Educação",2004,14310,6765,21075
"Engenharia, produção e construção",2004,1266,2419,3685
"Humanidades e artes",2004,1557,936,2493
"Saúde e bem estar social",2004,9652,3439,13091
"Serviços",2004,2949,1112,4061
"Agricultura e veterinária",2005,952,1505,2457
"Ciências sociais, negócios e direito",2005,23179,21824,45003
"Ciências, matemática e computação",2005,5165,6934,12099
"Educação",2005,20331,6852,27183
"Engenharia, produção e construção",2005,1495,2724,4219
"Humanidades e artes",2005,1952,1340,3292
"Saúde e bem estar social",2005,12060,4072,16132
"Serviços",2005,3754,1783,5537
"Agricultura e veterinária",2006,1322,1785,3107
"Ciências sociais, negócios e direito",2006,27295,26590,53885
"Ciências, matemática e computação",2006,5888,8025,13913
"Educação",2006,26557,8799,35356
"Engenharia, produção e construção",2006,1670,3178,4848
"Humanidades e artes",2006,2361,1525,3886
"Saúde e bem estar social",2006,16738,5694,22432
"Serviços",2006,3223,1377,4600
"Agricultura e veterinária",2007,6126,9167,15293
"Ciências sociais, negócios e direito",2007,171597,143465,315062
"Ciências, matemática e computação",2007,21759,37289,59048
"Educação",2007,135810,39775,175585
"Engenharia, produção e construção",2007,13060,33956,47016
"Humanidades e artes",2007,17056,11031,28087
"Saúde e bem estar social",2007,83499,30557,114056
"Serviços",2007,13594,7499,21093
"Agricultura e veterinária",2008,6356,10003,16359
"Ciências sociais, negócios e direito",2008,194312,160319,354631
"Ciências, matemática e computação",2008,23086,39152,62238
"Educação",2008,151021,45569,196590
"Engenharia, produção e construção",2008,13703,33887,47590
"Humanidades e artes",2008,17040,12182,29222
"Saúde e bem estar social",2008,95649,32857,128506
"Serviços",2008,13627,7350,20977
