area,total_fem,total_masc,total_conc,year,unemploy,gdp
"Agricultura, silvicultura, pesca e veterinária",2219,5149,7368,1995,7.092,769333330411.575
Artes e humanidades,68395,13026,81421,1995,7.092,769333330411.575
"Ciências naturais, matemática e estatística",15332,12084,27416,1995,7.092,769333330411.575
"Engenharia, produção e construção",3565,14266,17831,1995,7.092,769333330411.575
"Negócios, administração e direito",61482,57166,118648,1995,7.092,769333330411.575
Saúde e bem-estar,25830,12479,38309,1995,7.092,769333330411.575
"Agricultura, silvicultura, pesca e veterinária",28,64,92,1996,8.035,850426433004.077
Artes e humanidades,373,93,466,1996,8.035,850426433004.077
"Ciências naturais, matemática e estatística",118,81,199,1996,8.035,850426433004.077
"Engenharia, produção e construção",34,89,123,1996,8.035,850426433004.077
"Negócios, administração e direito",254,190,444,1996,8.035,850426433004.077
Saúde e bem-estar,178,41,219,1996,8.035,850426433004.077
"Agricultura, silvicultura, pesca e veterinária",3440,5635,9075,1997,9.003,883206452795.124
Artes e humanidades,101544,21110,122654,1997,9.003,883206452795.124
"Ciências naturais, matemática e estatística",25689,20167,45856,1997,9.003,883206452795.124
"Engenharia, produção e construção",5901,21530,27431,1997,9.003,883206452795.124
"Negócios, administração e direito",95706,85753,181459,1997,9.003,883206452795.124
Saúde e bem-estar,42783,20100,62883,1997,9.003,883206452795.124
"Agricultura, silvicultura, pesca e veterinária",1954,3263,5217,1998,10.15,863711007325.493
Artes e humanidades,23976,6714,30690,1998,10.15,863711007325.493
"Ciências naturais, matemática e estatística",9772,6089,15861,1998,10.15,863711007325.493
"Ciências sociais, comunicação e informação",10153,4871,15024,1998,10.15,863711007325.493
Computação e Tecnologias da Informação e Comunicação (TIC),4794,6942,11736,1998,10.15,863711007325.493
Educação,29910,5384,35294,1998,10.15,863711007325.493
"Engenharia, produção e construção",6419,14849,21268,1998,10.15,863711007325.493
"Negócios, administração e direito",42398,43590,85988,1998,10.15,863711007325.493
Saúde e bem-estar,31505,11041,42546,1998,10.15,863711007325.493
Serviços,1188,262,1450,1998,10.15,863711007325.493
"Agricultura, silvicultura, pesca e veterinária",2077,3566,5643,1999,11.125,599642075004.471
