NU_ANO_CENSO,NO_CINE_AREA_GERAL,QT_CONC,QT_CONC_FEM,QT_CONC_MASC
2009,"Engenharia, produção e construção",60003,17986,42017
2009,Educação,272161,208432,63729
2009,"Negócios, administração e direito",350496,189404,161092
2009,Serviços,18383,12569,5814
2009,"Ciências sociais, comunicação e informação",42517,28770,13747
2009,Computação e Tecnologias da Informação e Comunicação (TIC),41417,7706,33711
2009,Saúde e bem-estar,134714,103824,30890
2009,"Agricultura, silvicultura, pesca e veterinária",18891,7458,11433
2009,"Ciências naturais, matemática e estatística",8506,4695,3811
2009,Artes e humanidades,20330,11035,9295
2010,"Engenharia, produção e construção",66931,20842,46089
2010,Educação,234517,180047,54470
2010,"Negócios, administração e direito",374499,206868,167631
2010,Serviços,20232,12238,7994
2010,Saúde e bem-estar,146527,112572,33955
2010,"Ciências sociais, comunicação e informação",44566,30330,14236
2010,Computação e Tecnologias da Informação e Comunicação (TIC),40651,7351,33300
2010,"Agricultura, silvicultura, pesca e veterinária",18031,7302,10729
2010,"Ciências naturais, matemática e estatística",11520,6627,4893
2010,Artes e humanidades,23155,12572,10583
2011,"Engenharia, produção e construção",71456,22949,48507
2011,Educação,239562,184986,54576
2011,"Negócios, administração e direito",387096,216638,170458
2011,Saúde e bem-estar,156563,119173,37390
2011,"Ciências sociais, comunicação e informação",47407,32171,15236
2011,Computação e Tecnologias da Informação e Comunicação (TIC),41021,7004,34017
2011,"Agricultura, silvicultura, pesca e veterinária",19827,8104,11723
2011,"Ciências naturais, matemática e estatística",13017,7385,5632
2011,Artes e humanidades,25988,14156,11832
2011,Serviços,20732,12597,8135
2012,"Engenharia, produção e construção",82124,26735,55389
2012,Educação,224223,173014,51209
2012,"Negócios, administração e direito",415345,236355,178990
2012,Saúde e bem-estar,166813,128582,38231
2012,"Ciências sociais, comunicação e informação",44835,30473,14362
2012,Computação e Tecnologias da Informação e Comunicação (TIC),41644,7234,34410
2012,"Agricultura, silvicultura, pesca e veterinária",18722,7952,10770
2012,"Ciências naturais, matemática e estatística",14261,8041,6220
2012,Artes e humanidades,27057,15146,11911
2012,Serviços,21045,13465,7580
2013,"Engenharia, produção e construção",86938,28441,58497
2013,Educação,201487,153777,47710
2013,"Negócios, administração e direito",398008,228713,169295
2013,Saúde e bem-estar,144906,111303,33603
2013,"Ciências sociais, comunicação e informação",43217,29741,13476
2013,Computação e Tecnologias da Informação e Comunicação (TIC),40476,6612,33864
2013,"Agricultura, silvicultura, pesca e veterinária",19054,8382,10672
2013,"Ciências naturais, matemática e estatística",13473,7734,5739
2013,Artes e humanidades,27476,15736,11740
2013,Serviços,19777,12948,6829
