area,total_conc,total_fem,total_masc,ano
"Agricultura, silvicultura, pesca e veterinária",19681,8628,11053,2014
Artes e humanidades,27765,15842,11923,2014
"Ciências naturais, matemática e estatística",13756,7890,5866,2014
"Ciências sociais, comunicação e informação",44181,30350,13831,2014
Computação e Tecnologias da Informação e Comunicação (TIC),36289,5673,30616,2014
Educação,142527,103108,39419,2014
"Engenharia, produção e construção",88429,29974,58455,2014
"Negócios, administração e direito",316773,186023,130750,2014
Saúde e bem-estar,128304,97077,31227,2014
Serviços,19578,13465,6113,2014
"Agricultura, silvicultura, pesca e veterinária",22649,9973,12676,2015
Artes e humanidades,28903,16457,12446,2015
"Ciências naturais, matemática e estatística",14668,8394,6274,2015
"Ciências sociais, comunicação e informação",47715,33234,14481,2015
Computação e Tecnologias da Informação e Comunicação (TIC),44247,6786,37461,2015
Educação,238377,184773,53604,2015
"Engenharia, produção e construção",114005,39588,74417,2015
"Negócios, administração e direito",450157,263488,186669,2015
Saúde e bem-estar,164356,127102,37254,2015
Serviços,27381,18405,8976,2015
"Agricultura, silvicultura, pesca e veterinária",24914,11689,13225,2016
Artes e humanidades,29808,16947,12861,2016
"Ciências naturais, matemática e estatística",15136,8454,6682,2016
"Ciências sociais, comunicação e informação",51881,36811,15070,2016
Computação e Tecnologias da Informação e Comunicação (TIC),44132,6489,37643,2016
Educação,239607,185071,54536,2016
"Engenharia, produção e construção",130821,46657,84164,2016
"Negócios, administração e direito",434434,255980,178454,2016
Saúde e bem-estar,169762,130866,38896,2016
Serviços,30465,20465,10000,2016
"Agricultura, silvicultura, pesca e veterinária",25805,12354,13451,2017
Artes e humanidades,31853,17558,14295,2017
"Ciências naturais, matemática e estatística",16314,8861,7453,2017
"Ciências sociais, comunicação e informação",55272,39767,15505,2017
Computação e Tecnologias da Informação e Comunicação (TIC),41918,6131,35787,2017
Educação,253673,191186,62487,2017
"Engenharia, produção e construção",145776,53591,92185,2017
"Negócios, administração e direito",419847,245893,173954,2017
Saúde e bem-estar,184515,140818,43697,2017
Serviços,26172,17475,8697,2017
"Agricultura, silvicultura, pesca e veterinária",30150,15275,14875,2018
Artes e humanidades,29670,16937,12733,2018
"Ciências naturais, matemática e estatística",15900,8602,7298,2018
"Ciências sociais, comunicação e informação",61007,44203,16804,2018
Computação e Tecnologias da Informação e Comunicação (TIC),34100,4893,29207,2018
Educação,133243,94556,38687,2018
"Engenharia, produção e construção",155494,58593,96901,2018
"Negócios, administração e direito",318767,188403,130364,2018
Saúde e bem-estar,191744,143603,48141,2018
Serviços,20340,14318,6022,2018
"Agricultura, silvicultura, pesca e veterinária",31910,16366,15544,2019
Artes e humanidades,30862,17666,13196,2019
"Ciências naturais, matemática e estatística",15150,8193,6957,2019
"Ciências sociais, comunicação e informação",61394,44416,16978,2019
Computação e Tecnologias da Informação e Comunicação (TIC),44891,6101,38790,2019
Educação,254091,192048,62043,2019
"Engenharia, produção e construção",159757,59569,100188,2019
"Negócios, administração e direito",416833,238514,178319,2019
Saúde e bem-estar,204587,150986,53601,2019
Serviços,30764,18649,12115,2019
"Agricultura, silvicultura, pesca e veterinária",30371,15620,14751,2020
Artes e humanidades,29322,16535,12787,2020
"Ciências naturais, matemática e estatística",12749,6945,5804,2020
"Ciências sociais, comunicação e informação",57051,40959,16092,2020
Computação e Tecnologias da Informação e Comunicação (TIC),51567,7197,44370,2020
Educação,243542,188994,54548,2020
"Engenharia, produção e construção",151281,56164,95117,2020
"Negócios, administração e direito",455572,259689,195883,2020
Saúde e bem-estar,212269,154154,58115,2020
Serviços,35031,20479,14552,2020
"Agricultura, silvicultura, pesca e veterinária",31843,16510,15333,2021
Artes e humanidades,30146,17102,13044,2021
"Ciências naturais, matemática e estatística",13228,7110,6118,2021
"Ciências sociais, comunicação e informação",60788,43772,17016,2021
Computação e Tecnologias da Informação e Comunicação (TIC),54596,8106,46490,2021
Educação,283924,221196,62728,2021
"Engenharia, produção e construção",134754,48466,86288,2021
"Negócios, administração e direito",437909,248926,188983,2021
Saúde e bem-estar,240912,176502,64410,2021
Serviços,39225,21506,17719,2021
"Agricultura, silvicultura, pesca e veterinária",36113,18924,17189,2022
Artes e humanidades,30932,17598,13334,2022
"Ciências naturais, matemática e estatística",14146,7517,6629,2022
"Ciências sociais, comunicação e informação",65454,47304,18150,2022
Computação e Tecnologias da Informação e Comunicação (TIC),61760,9474,52286,2022
Educação,258517,202404,56113,2022
"Engenharia, produção e construção",124669,43786,80883,2022
"Negócios, administração e direito",409695,231969,177726,2022
Saúde e bem-estar,246372,180939,65433,2022
Serviços,39977,22646,17331,2022
"Agricultura, silvicultura, pesca e veterinária",37507,20250,17257,2023
Artes e humanidades,39934,23133,16801,2023
"Ciências naturais, matemática e estatística",14781,7595,7186,2023
"Ciências sociais, comunicação e informação",70070,49568,20502,2023
Computação e Tecnologias da Informação e Comunicação (TIC),80316,14030,66286,2023
Educação,233942,178537,55405,2023
"Engenharia, produção e construção",119074,40294,78780,2023
"Negócios, administração e direito",464537,267025,197512,2023
Saúde e bem-estar,267325,194814,72511,2023
Serviços,47303,24646,22657,2023
"Agricultura, silvicultura, pesca e veterinária",39703,21405,18298,2024
Artes e humanidades,39981,23038,16943,2024
"Ciências naturais, matemática e estatística",15108,7776,7332,2024
"Ciências sociais, comunicação e informação",77189,54734,22455,2024
Computação e Tecnologias da Informação e Comunicação (TIC),100488,19253,81235,2024
Educação,207450,157098,50352,2024
"Engenharia, produção e construção",110596,36337,74259,2024
"Negócios, administração e direito",423055,246743,176312,2024
Saúde e bem-estar,274084,200745,73339,2024
Serviços,46334,26032,20302,2024
