"","YEAR","BACHELORS","econ","rate","Total_Men","Total_Women","Total"
"1",1995,"Arts & Humanities","gdp_trils",7.639749,87965,123322,211287
"2",1995,"Arts & Humanities","unemploy",5.65,87965,123322,211287
"3",1995,"Business & Management","gdp_trils",7.639749,126365,117366,243731
"4",1995,"Business & Management","unemploy",5.65,126365,117366,243731
"5",1995,"Education","gdp_trils",7.639749,29414,84478,113892
"6",1995,"Education","unemploy",5.65,29414,84478,113892
"7",1995,"Engineering","gdp_trils",7.639749,70435,18115,88550
"8",1995,"Engineering","unemploy",5.65,70435,18115,88550
"9",1995,"Grand total","gdp_trils",7.639749,535370,647410,1182780
"10",1995,"Grand total","unemploy",5.65,535370,647410,1182780
"11",1995,"Health & Medical","gdp_trils",7.639749,14763,66818,81581
"12",1995,"Health & Medical","unemploy",5.65,14763,66818,81581
"13",1995,"Natural Sciences","gdp_trils",7.639749,49089,45523,94612
"14",1995,"Natural Sciences","unemploy",5.65,49089,45523,94612
"15",1995,"Other/Unknown","gdp_trils",7.639749,83440,86582,170022
"16",1995,"Other/Unknown","unemploy",5.65,83440,86582,170022
"17",1995,"Social & Behavioral Sciences","gdp_trils",7.639749,73899,105206,179105
"18",1995,"Social & Behavioral Sciences","unemploy",5.65,73899,105206,179105
"19",1996,"Arts & Humanities","gdp_trils",8.073122,87383,123921,211304
"20",1996,"Arts & Humanities","unemploy",5.451,87383,123921,211304
"21",1996,"Business & Management","gdp_trils",8.073122,121126,115076,236202
"22",1996,"Business & Management","unemploy",5.451,121126,115076,236202
"23",1996,"Education","gdp_trils",8.073122,30359,83915,114274
"24",1996,"Education","unemploy",5.451,30359,83915,114274
"25",1996,"Engineering","gdp_trils",8.073122,69665,18150,87815
"26",1996,"Engineering","unemploy",5.451,69665,18150,87815
"27",1996,"Grand total","gdp_trils",8.073122,528791,652846,1181637
"28",1996,"Grand total","unemploy",5.451,528791,652846,1181637
"29",1996,"Health & Medical","gdp_trils",8.073122,15753,69877,85630
"30",1996,"Health & Medical","unemploy",5.451,15753,69877,85630
"31",1996,"Natural Sciences","gdp_trils",8.073122,51514,48582,100096
"32",1996,"Natural Sciences","unemploy",5.451,51514,48582,100096
"33",1996,"Other/Unknown","gdp_trils",8.073122,80406,86722,167128
"34",1996,"Other/Unknown","unemploy",5.451,80406,86722,167128
"35",1996,"Social & Behavioral Sciences","gdp_trils",8.073122,72585,106603,179188
"36",1996,"Social & Behavioral Sciences","unemploy",5.451,72585,106603,179188
"37",1997,"Arts & Humanities","gdp_trils",8.577554457,86984,123894,210878
"38",1997,"Arts & Humanities","unemploy",5,86984,123894,210878
"39",1997,"Business & Management","gdp_trils",8.577554457,120628,114788,235416
"40",1997,"Business & Management","unemploy",5,120628,114788,235416
"41",1997,"Education","gdp_trils",8.577554457,30747,83808,114555
"42",1997,"Education","unemploy",5,30747,83808,114555
"43",1997,"Engineering","gdp_trils",8.577554457,69226,18355,87581
"44",1997,"Engineering","unemploy",5,69226,18355,87581
"45",1997,"Grand total","gdp_trils",8.577554457,526047,662338,1188385
