year,area,total_conc,total_fem,total_masc,unemploy,gdp
1995,Arts & Humanities,81421,68395,13026,7.092,769333330411.575
1995,Business & Management,118648,61482,57166,7.092,769333330411.575
1995,Engineering,17831,3565,14266,7.092,769333330411.575
1995,Health & Medical,38309,25830,12479,7.092,769333330411.575
1995,Natural Sciences,27416,15332,12084,7.092,769333330411.575
1995,Other/Unknown,7368,2219,5149,7.092,769333330411.575
1995,Total,290993,176823,114170,7.092,769333330411.575
1996,Arts & Humanities,466,373,93,8.035,850426433004.077
1996,Business & Management,444,254,190,8.035,850426433004.077
1996,Engineering,123,34,89,8.035,850426433004.077
1996,Health & Medical,219,178,41,8.035,850426433004.077
1996,Natural Sciences,199,118,81,8.035,850426433004.077
1996,Other/Unknown,92,28,64,8.035,850426433004.077
1996,Total,1543,985,558,8.035,850426433004.077
1997,Arts & Humanities,122654,101544,21110,9.003,883206452795.124
1997,Business & Management,181459,95706,85753,9.003,883206452795.124
1997,Engineering,27431,5901,21530,9.003,883206452795.124
1997,Health & Medical,62883,42783,20100,9.003,883206452795.124
1997,Natural Sciences,45856,25689,20167,9.003,883206452795.124
1997,Other/Unknown,9075,3440,5635,9.003,883206452795.124
1997,Total,449358,275063,174295,9.003,883206452795.124
1998,Arts & Humanities,30690,23976,6714,10.15,863711007325.493
1998,Business & Management,87438,43586,43852,10.15,863711007325.493
1998,Education,35294,29910,5384,10.15,863711007325.493
1998,Engineering,33004,11213,21791,10.15,863711007325.493
1998,Health & Medical,42546,31505,11041,10.15,863711007325.493
1998,Natural Sciences,15861,9772,6089,10.15,863711007325.493
1998,Other/Unknown,5217,1954,3263,10.15,863711007325.493
1998,Social & Behavioral Sciences,15024,10153,4871,10.15,863711007325.493
1998,Total,265074,162069,103005,10.15,863711007325.493
1999,Arts & Humanities,31396,24238,7158,11.125,599642075004.471
1999,Business & Management,99505,50665,48840,11.125,599642075004.471
1999,Education,39641,33460,6181,11.125,599642075004.471
1999,Engineering,36477,12110,24367,11.125,599642075004.471
1999,Health & Medical,46076,34626,11450,11.125,599642075004.471
1999,Natural Sciences,16315,9824,6491,11.125,599642075004.471
1999,Other/Unknown,5643,2077,3566,11.125,599642075004.471
1999,Social & Behavioral Sciences,16107,10583,5524,11.125,599642075004.471
1999,Total,291160,177583,113577,11.125,599642075004.471
2001,Arts & Humanities,1602,974,628,10.649,559983704094.17
2001,Business & Management,28539,14804,13735,10.649,559983704094.17
2001,Education,8001,5286,2715,10.649,559983704094.17
2001,Engineering,2707,899,1808,10.649,559983704094.17
2001,Health & Medical,6662,4926,1736,10.649,559983704094.17
2001,Natural Sciences,5510,2518,2992,10.649,559983704094.17
2001,Other/Unknown,1358,528,830,10.649,559983704094.17
2001,Total,54379,29935,24444,10.649,559983704094.17
2002,Arts & Humanities,4348,2664,1684,10.641,509795270685.19
2002,Business & Management,65696,34462,31234,10.641,509795270685.19
2002,Education,32013,23073,8940,10.641,509795270685.19
2002,Engineering,6646,2256,4390,10.641,509795270685.19
2002,Health & Medical,17368,12732,4636,10.641,509795270685.19
2002,Natural Sciences,13724,6220,7504,10.641,509795270685.19
2002,Other/Unknown,3446,1438,2008,10.641,509795270685.19
2002,Total,143241,82845,60396,10.641,509795270685.19
2003,Arts & Humanities,2417,1528,889,11.168,558233724164.711
2003,Business & Management,37004,19216,17788,11.168,558233724164.711
2003,Education,19750,14137,5613,11.168,558233724164.711
2003,Engineering,3017,1049,1968,11.168,558233724164.711
2003,Health & Medical,10665,8015,2650,11.168,558233724164.711
2003,Natural Sciences,7498,3322,4176,11.168,558233724164.711
2003,Other/Unknown,1486,575,911,11.168,558233724164.711
2003,Total,81837,47842,33995,11.168,558233724164.711
2004,Arts & Humanities,2493,1557,936,10.072,669289321944.512
2004,Business & Management,43934,23252,20682,10.072,669289321944.512
2004,Education,21075,14310,6765,10.072,669289321944.512
2004,Engineering,3685,1266,2419,10.072,669289321944.512
2004,Health & Medical,13091,9652,3439,10.072,669289321944.512
2004,Natural Sciences,10153,4384,5769,10.072,669289321944.512
2004,Other/Unknown,2194,852,1342,10.072,669289321944.512
2004,Total,96625,55273,41352,10.072,669289321944.512
2005,Arts & Humanities,3292,1952,1340,10.551,891633826625.407
2005,Business & Management,50540,26933,23607,10.551,891633826625.407
2005,Education,27183,20331,6852,10.551,891633826625.407
2005,Engineering,4219,1495,2724,10.551,891633826625.407
2005,Health & Medical,16132,12060,4072,10.551,891633826625.407
2005,Natural Sciences,12099,5165,6934,10.551,891633826625.407
2005,Other/Unknown,2457,952,1505,10.551,891633826625.407
2005,Total,115922,68888,47034,10.551,891633826625.407
2006,Arts & Humanities,3886,2361,1525,9.692,1107626711163.23
2006,Business & Management,58485,30518,27967,9.692,1107626711163.23
2006,Education,35356,26557,8799,9.692,1107626711163.23
2006,Engineering,4848,1670,3178,9.692,1107626711163.23
