year,area,total_conc,total_fem,total_masc,prop_conc,prop_fem,prop_masc
1995,Arts & Humanities,81421,68395,13026,0.2798039815390748,0.3867992286071382,0.11409301918192169
1995,Business & Management,118648,61482,57166,0.4077348939665215,0.3477036358392291,0.5007094683366909
1995,Engineering,17831,3565,14266,0.06127638809180977,0.020161404342195304,0.1249540159411404
1995,Health & Medical,38309,25830,12479,0.13164921492956874,0.146078281671502,0.10930191819216957
1995,Natural Sciences,27416,15332,12084,0.09421532476726244,0.08670817710365733,0.10584216519225716
1995,Other/Unknown,7368,2219,5149,0.02532019670576268,0.012549272436278087,0.04509941315582027
1995,Total,290993,176823,114170,1,1,1
1996,Arts & Humanities,466,373,93,0.3020090732339598,0.3786802030456853,0.16666666666666666
1996,Business & Management,444,254,190,0.28775113415424497,0.2578680203045685,0.34050179211469533
1996,Engineering,123,34,89,0.0797148412184057,0.03451776649746193,0.15949820788530467
1996,Health & Medical,219,178,41,0.14193130265716136,0.18071065989847715,0.07347670250896057
1996,Natural Sciences,199,118,81,0.1289695398574206,0.11979695431472082,0.14516129032258066
1996,Other/Unknown,92,28,64,0.059624108878807515,0.028426395939086295,0.11469534050179211
1996,Total,1543,985,558,1,1,1
1997,Arts & Humanities,122654,101544,21110,0.27295385861607,0.3691663364392885,0.12111649789150578
1997,Business & Management,181459,95706,85753,0.4038183363821274,0.3479421078080294,0.4919991967641068
1997,Engineering,27431,5901,21530,0.06104486845677611,0.021453267069725845,0.12352620557101465
1997,Health & Medical,62883,42783,20100,0.1399396472300482,0.15553891290358937,0.11532172466221062
1997,Natural Sciences,45856,25689,20167,0.10204781043177155,0.09339314993292445,0.11570613041108466
1997,Other/Unknown,9075,3440,5635,0.02019547888320671,0.012506225846442452,0.032330244700077455
1997,Total,449358,275063,174295,1,1,1
1998,Arts & Humanities,30690,23976,6714,0.1157789900178818,0.14793698980064046,0.06518130187854959
1998,Business & Management,87438,43586,43852,0.3298626044048077,0.26893483639684335,0.42572690646085143
1998,Education,35294,29910,5384,0.1331477247862861,0.1845510245636118,0.05226930731517888
1998,Engineering,33004,11213,21791,0.12450862777941255,0.0691865810241317,0.21155283724091065
1998,Health & Medical,42546,31505,11041,0.1605061228185337,0.19439251183138045,0.1071889714091549
1998,Natural Sciences,15861,9772,6089,0.059836121234070484,0.06029530632014759,0.05911363526042425
1998,Other/Unknown,5217,1954,3263,0.019681296543606692,0.01205659317944826,0.031678073879908744
1998,Social & Behavioral Sciences,15024,10153,4871,0.056678512415400985,0.0626461568837964,0.0472889665550216
1998,Total,265074,162069,103005,1,1,1
1999,Arts & Humanities,31396,24238,7158,0.10783074598159088,0.1364882899827123,0.06302332338413587
1999,Business & Management,99505,50665,48840,0.34175367495535103,0.2853032103298176,0.4300166406930981
1999,Education,39641,33460,6181,0.13614850941063333,0.18841893649729985,0.05442122965036935
1999,Engineering,36477,12110,24367,0.12528163209232038,0.06819346446450392,0.21454167657184112
1999,Health & Medical,46076,34626,11450,0.1582497595823602,0.19498488030948907,0.10081266453595358
1999,Natural Sciences,16315,9824,6491,0.05603448275862069,0.05532061064403687,0.05715065550243447
1999,Other/Unknown,5643,2077,3566,0.019381096304437424,0.011695939363565206,0.03139720189827166
1999,Social & Behavioral Sciences,16107,10583,5524,0.05532009891468608,0.05959466840857514,0.04863660776389586
1999,Total,291160,177583,113577,1,1,1
2001,Arts & Humanities,1602,974,628,0.029459901800327332,0.03253716385501921,0.025691376206840123
2001,Business & Management,28539,14804,13735,0.5248165652181909,0.4945381660263905,0.561896579937817
2001,Education,8001,5286,2715,0.14713400393534268,0.17658259562385167,0.11107020127638684
2001,Engineering,2707,899,1808,0.04978024605086522,0.030031735426757977,0.07396498118147603
2001,Health & Medical,6662,4926,1736,0.12251052796116148,0.16455653916819776,0.07101947308132875
2001,Natural Sciences,5510,2518,2992,0.10132587947553283,0.08411558376482378,0.122402225495009
2001,Other/Unknown,1358,528,830,0.024972875558579598,0.017638216134959077,0.0339551628211422
2001,Total,54379,29935,24444,1,1,1
2002,Arts & Humanities,4348,2664,1684,0.030354437626098674,0.03215643671917436,0.02788264123451884
2002,Business & Management,65696,34462,31234,0.45863963529994906,0.4159816524835536,0.5171534538711173
2002,Education,32013,23073,8940,0.22349048107734518,0.27850805721528155,0.14802304788396584
2002,Engineering,6646,2256,4390,0.04639733037328698,0.027231577041462972,0.07268693290946421
2002,Health & Medical,17368,12732,4636,0.12125020071069037,0.1536845917074054,0.07676005033445923
2002,Natural Sciences,13724,6220,7504,0.09581055703325166,0.07507996861609029,0.12424663885025498
2002,Other/Unknown,3446,1438,2008,0.02405735787937811,0.017357716217031808,0.033247234916219615
2002,Total,143241,82845,60396,1,1,1
2003,Arts & Humanities,2417,1528,889,0.02953431821792099,0.03193846411103215,0.026150904544785997
2003,Business & Management,37004,19216,17788,0.4521671126751958,0.4016554491869069,0.5232534196205324
