NU_ANO_CENSO,NO_CINE_AREA_GERAL,QT_CONC,QT_CONC_FEM,QT_CONC_MASC
2014,"Engenharia, produção e construção",75077,25414,49663
2014,Educação,142527,103108,39419
2014,"Negócios, administração e direito",245237,141220,104017
2014,Saúde e bem-estar,125234,95115,30119
2014,"Ciências sociais, comunicação e informação",44181,30350,13831
2014,"Ciências naturais, matemática e estatística",13222,7580,5642
2014,"Agricultura, silvicultura, pesca e veterinária",18077,7964,10113
2014,Computação e Tecnologias da Informação e Comunicação (TIC),16638,2622,14016
2014,Artes e humanidades,18172,9464,8708
2014,Serviços,4869,3112,1757
2015,"Engenharia, produção e construção",90414,31501,58913
2015,Educação,152863,111652,41211
2015,"Negócios, administração e direito",265825,154533,111292
2015,Saúde e bem-estar,142951,108698,34253
2015,"Ciências sociais, comunicação e informação",47656,33217,14439
2015,"Ciências naturais, matemática e estatística",14187,8124,6063
2015,"Agricultura, silvicultura, pesca e veterinária",20602,9166,11436
2015,Computação e Tecnologias da Informação e Comunicação (TIC),16695,2595,14100
2015,Artes e humanidades,17208,9070,8138
2015,Serviços,4494,3057,1437
2016,"Engenharia, produção e construção",111790,39944,71846
2016,Educação,149673,109106,40567
2016,"Negócios, administração e direito",264043,155524,108519
2016,Saúde e bem-estar,149167,113704,35463
2016,"Ciências sociais, comunicação e informação",51763,36747,15016
2016,"Agricultura, silvicultura, pesca e veterinária",23186,10949,12237
2016,"Ciências naturais, matemática e estatística",14682,8191,6491
2016,Computação e Tecnologias da Informação e Comunicação (TIC),17265,2731,14534
2016,Artes e humanidades,18119,9608,8511
2016,Serviços,5401,3471,1930
2017,"Engenharia, produção e construção",128512,47806,80706
2017,Educação,145500,104364,41136
2017,"Negócios, administração e direito",260492,153792,106700
2017,Saúde e bem-estar,163381,123261,40120
2017,"Ciências sociais, comunicação e informação",55021,39644,15377
2017,"Agricultura, silvicultura, pesca e veterinária",23932,11571,12361
2017,"Ciências naturais, matemática e estatística",15648,8588,7060
2017,Serviços,3772,2542,1230
2017,Computação e Tecnologias da Informação e Comunicação (TIC),16388,2573,13815
2017,Artes e humanidades,19688,10188,9500
2018,"Engenharia, produção e construção",145753,55583,90170
2018,Educação,133198,94525,38673
2018,"Negócios, administração e direito",264519,156094,108425
2018,Saúde e bem-estar,188263,141464,46799
2018,"Ciências sociais, comunicação e informação",61007,44203,16804
2018,"Agricultura, silvicultura, pesca e veterinária",28259,14383,13876
2018,"Ciências naturais, matemática e estatística",15395,8325,7070
2018,Computação e Tecnologias da Informação e Comunicação (TIC),16249,2394,13855
2018,Artes e humanidades,19088,10328,8760
2018,Serviços,3993,2596,1397
2019,"Engenharia, produção e construção",143683,54757,88926
2019,Educação,120584,85216,35368
2019,"Negócios, administração e direito",237660,138625,99035
2019,Saúde e bem-estar,182946,135827,47119
2019,"Ciências sociais, comunicação e informação",60300,43887,16413
2019,"Agricultura, silvicultura, pesca e veterinária",29884,15487,14397
2019,"Ciências naturais, matemática e estatística",14662,7940,6722
2019,Computação e Tecnologias da Informação e Comunicação (TIC),15461,2237,13224
2019,Artes e humanidades,17102,9290,7812
2019,Serviços,3641,2194,1447
2020,"Negócios, administração e direito",233228,134905,98323
2020,"Agricultura, silvicultura, pesca e veterinária",28139,14781,13358
2020,"Engenharia, produção e construção",132051,50673,81378
2020,"Ciências sociais, comunicação e informação",55384,40094,15290
2020,Artes e humanidades,13885,7347,6538
2020,Educação,94833,68705,26128
2020,"Ciências naturais, matemática e estatística",12288,6712,5576
2020,Computação e Tecnologias da Informação e Comunicação (TIC),15233,2101,13132
2020,Saúde e bem-estar,184571,135558,49013
2020,Serviços,3188,1837,1351
2021,"Negócios, administração e direito",207177,119376,87801
2021,"Agricultura, silvicultura, pesca e veterinária",29873,15742,14131
2021,"Engenharia, produção e construção",113273,42390,70883
2021,"Ciências sociais, comunicação e informação",57301,41466,15835
2021,Educação,93912,67505,26407
2021,Artes e humanidades,13510,7207,6303
2021,"Ciências naturais, matemática e estatística",12642,6805,5837
2021,Computação e Tecnologias da Informação e Comunicação (TIC),14655,1994,12661
2021,Saúde e bem-estar,205603,152833,52770
2021,Serviços,3287,1682,1605
2022,"Negócios, administração e direito",197890,113577,84313
2022,"Agricultura, silvicultura, pesca e veterinária",33251,18013,15238
2022,"Engenharia, produção e construção",100777,37331,63446
2022,"Ciências sociais, comunicação e informação",59316,42663,16653
2022,Educação,91691,65532,26159
2022,Artes e humanidades,14157,7709,6448
2022,"Ciências naturais, matemática e estatística",13051,7018,6033
2022,Computação e Tecnologias da Informação e Comunicação (TIC),15118,2043,13075
2022,Saúde e bem-estar,205034,152887,52147
2022,Serviços,2924,1883,1041
2023,"Negócios, administração e direito",185699,106185,79514
2023,"Agricultura, silvicultura, pesca e veterinária",34463,19184,15279
2023,"Engenharia, produção e construção",88568,32530,56038
2023,"Ciências sociais, comunicação e informação",64162,46156,18006
2023,Educação,85174,59406,25768
2023,Artes e humanidades,15295,8404,6891
2023,"Ciências naturais, matemática e estatística",13064,6875,6189
2023,Computação e Tecnologias da Informação e Comunicação (TIC),17135,2301,14834
2023,Saúde e bem-estar,208380,153632,54748
2023,Serviços,3352,1710,1642
2024,"Negócios, administração e direito",155394,88575,66819
2024,"Agricultura, silvicultura, pesca e veterinária",35624,20511,15113
2024,"Engenharia, produção e construção",76849,28349,48500
2024,"Ciências sociais, comunicação e informação",69451,50616,18835
2024,Educação,71791,49388,22403
2024,Artes e humanidades,15368,8826,6542
2024,"Ciências naturais, matemática e estatística",12737,6674,6063
2024,Computação e Tecnologias da Informação e Comunicação (TIC),15642,2259,13383
2024,Saúde e bem-estar,196862,145698,51164
2024,Serviços,2855,1591,1264
