YEAR,BACHELORS,Total_Men,Total_Women,Total,gdp,unemploy
1995,Arts & Humanities,87965,123322,211287,7.63975E+12,5.65
1995,Business & Management,126365,117366,243731,7.63975E+12,5.65
1995,Education,29414,84478,113892,7.63975E+12,5.65
1995,Engineering,70435,18115,88550,7.63975E+12,5.65
1995,Grand total,535370,647410,1182780,7.63975E+12,5.65
1995,Health & Medical,14763,66818,81581,7.63975E+12,5.65
1995,Natural Sciences,49089,45523,94612,7.63975E+12,5.65
1995,Other/Unknown,83440,86582,170022,7.63975E+12,5.65
1995,Social & Behavioral Sciences,73899,105206,179105,7.63975E+12,5.65
1996,Arts & Humanities,87383,123921,211304,8.07312E+12,5.451
1996,Business & Management,121126,115076,236202,8.07312E+12,5.451
1996,Education,30359,83915,114274,8.07312E+12,5.451
1996,Engineering,69665,18150,87815,8.07312E+12,5.451
1996,Grand total,528791,652846,1181637,8.07312E+12,5.451
1996,Health & Medical,15753,69877,85630,8.07312E+12,5.451
1996,Natural Sciences,51514,48582,100096,8.07312E+12,5.451
1996,Other/Unknown,80406,86722,167128,8.07312E+12,5.451
1996,Social & Behavioral Sciences,72585,106603,179188,8.07312E+12,5.451
1997,Arts & Humanities,86984,123894,210878,8.57755E+12,5
1997,Business & Management,120628,114788,235416,8.57755E+12,5
1997,Education,30747,83808,114555,8.57755E+12,5
1997,Engineering,69226,18355,87581,8.57755E+12,5
1997,Grand total,526047,662338,1188385,8.57755E+12,5
1997,Health & Medical,16182,70901,87083,8.57755E+12,5
1997,Natural Sciences,51851,51600,103451,8.57755E+12,5
1997,Other/Unknown,79814,90255,170069,8.57755E+12,5
1997,Social & Behavioral Sciences,70615,108737,179352,8.57755E+12,5
1998,Arts & Humanities,88396,128557,216953,9.06282E+12,4.511
1998,Business & Management,124236,117964,242200,9.06282E+12,4.511
1998,Education,31277,85208,116485,9.06282E+12,4.511
1998,Engineering,69661,18720,88381,9.06282E+12,4.511
1998,Grand total,527779,676048,1203827,9.06282E+12,4.511
1998,Health & Medical,15439,70857,86296,9.06282E+12,4.511
1998,Natural Sciences,51370,53514,104884,9.06282E+12,4.511
1998,Other/Unknown,78006,92090,170096,9.06282E+12,4.511
1998,Social & Behavioral Sciences,69394,109138,178532,9.06282E+12,4.511
1999,Arts & Humanities,88968,133281,222249,9.63117E+12,4.219
