"field","term","estimate","conf.low","conf.high","p.value","outcome"
"Arts & Humanities","unemp_lag",0.000666104509228947,-0.0000311964678765035,0.0013634054863344,0.0599516893765601,"gap_share"
"Arts & Humanities","gdpg_lag",-0.000000399480628661076,-0.000605207626746117,0.000604408665488794,0.998904330722006,"gap_share"
"Business & Management","unemp_lag",0.000550004857498714,-0.000219765439902891,0.00131977515490032,0.15004717533568,"gap_share"
"Business & Management","gdpg_lag",0.0000946237494506961,-0.000573041092265626,0.000762288591167018,0.768556648873729,"gap_share"
"Education","unemp_lag",-0.000799981275276125,-0.00180598609644167,0.000206023545889416,0.111686063240809,"gap_share"
"Education","gdpg_lag",0.000209728782539101,-0.000662835477158388,0.00108229304223659,0.618590067987584,"gap_share"
"Engineering","unemp_lag",-0.00164749160742255,-0.00561605990504493,0.00232107669019983,0.393314815531322,"gap_share"
"Engineering","gdpg_lag",-0.000450174347672086,-0.00389233564334243,0.00299198694799826,0.785930399505436,"gap_share"
"Health & Medical","unemp_lag",0.0018856090128529,-0.000402804394005734,0.00417402241971153,0.10020876167636,"gap_share"
"Health & Medical","gdpg_lag",-0.000182808291047532,-0.00216767725810075,0.00180206067600569,0.84823159579329,"gap_share"
"Natural Sciences","unemp_lag",-0.000218869559433379,-0.00268043042553203,0.00224269130666527,0.853415655143267,"gap_share"
"Natural Sciences","gdpg_lag",0.000355867985228697,-0.00177918145950377,0.00249091742996117,0.729412820992264,"gap_share"
"Other/Unknown","unemp_lag",0.000700340567249684,0.000123321674601137,0.00127735945989823,0.0202573452720682,"gap_share"
"Other/Unknown","gdpg_lag",-0.0000024185962209703,-0.00050289936162328,0.00049806216918134,0.991983781388888,"gap_share"
"Social & Behavioral Sciences","unemp_lag",-0.00113571650469819,-0.00276811564284014,0.000496682633443749,0.160397725082188,"gap_share"
"Social & Behavioral Sciences","gdpg_lag",-0.000024419801649252,-0.00144029089444718,0.00139145129114868,0.971396545365686,"gap_share"
