"field","term","estimate","conf.low","conf.high","p.value","outcome"
"Arts & Humanities","unemp_lag",-0.00186475152713196,-0.00384033182516231,0.000110828770898389,0.0627489089901356,"share_men"
"Arts & Humanities","gdpg_lag",0.0000578629777480429,-0.00165566833339081,0.00177139428888689,0.944034364757841,"share_men"
"Business & Management","unemp_lag",-0.0000946124437437,-0.00212186754897918,0.00193264266149178,0.92271433100629,"share_men"
"Business & Management","gdpg_lag",-0.000665983651117639,-0.00242433541335703,0.00109236811112175,0.435254517190709,"share_men"
"Education","unemp_lag",-0.000840776181614893,-0.00120704339099355,-0.00047450897223624,0.000152340125398109,"share_men"
"Education","gdpg_lag",0.0000027176411732469,-0.00031496639937904,0.000320401681725534,0.985810297448473,"share_men"
"Engineering","unemp_lag",0.00209280233528681,-0.00415037949413401,0.00833598416470764,0.488999945831119,"share_men"
"Engineering","gdpg_lag",0.000766757715002047,-0.00464830314408402,0.00618181857408811,0.76875631498982,"share_men"
"Health & Medical","unemp_lag",0.000858891273712511,-0.00017969995905855,0.00189748250648357,0.0990746096572923,"share_men"
"Health & Medical","gdpg_lag",-0.000146807330746701,-0.00104763560819097,0.000754020946697567,0.735186345157247,"share_men"
"Natural Sciences","unemp_lag",0.000670783409552524,-0.00133676167310935,0.0026783284922144,0.490384781611983,"share_men"
"Natural Sciences","gdpg_lag",-0.000229610904836397,-0.00197086706187219,0.0015116452521994,0.784205876360934,"share_men"
"Other/Unknown","unemp_lag",-0.0000810761168592729,-0.00182180820328309,0.00165965596956455,0.922870038447388,"share_men"
"Other/Unknown","gdpg_lag",-0.0000636166811797908,-0.00157345100042519,0.00144621763806561,0.930202797184929,"share_men"
"Social & Behavioral Sciences","unemp_lag",-0.000741260749202017,-0.00227660932404197,0.000794087825637935,0.322665832669384,"share_men"
"Social & Behavioral Sciences","gdpg_lag",0.000278680233957198,-0.00105301347604975,0.00161037394396415,0.664404011315716,"share_men"
