"field","term","estimate","conf.low","conf.high","p.value","outcome"
"Arts & Humanities","unemp_lag",0.000705222715433368,-0.00155319110895536,0.00296363653982209,0.51883548905188,"prop_wom"
"Arts & Humanities","gdpg_lag",0.000280915679047247,-0.00167793297188189,0.00223976432997638,0.765891687546819,"prop_wom"
"Business & Management","unemp_lag",0.000162244814817062,-0.000793258747888468,0.00111774837752259,0.724568052120943,"prop_wom"
"Business & Management","gdpg_lag",0.000152762125906522,-0.000675999567168178,0.000981523818981221,0.702182896658323,"prop_wom"
"Education","unemp_lag",-0.000396777746526594,-0.0027256419961654,0.00193208650311221,0.723679023249514,"prop_wom"
"Education","gdpg_lag",0.00075405195694766,-0.00126590228896509,0.00277400620286041,0.441775876253,"prop_wom"
"Engineering","unemp_lag",0.00101742903438739,-0.00538766217183595,0.00742252024061073,0.741621160093783,"prop_wom"
"Engineering","gdpg_lag",0.00112720951285184,-0.00442828440633038,0.00668270343203406,0.673965924917445,"prop_wom"
"Health & Medical","unemp_lag",-0.000883605945110375,-0.00280463933295094,0.00103742744273019,0.345433539560925,"prop_wom"
"Health & Medical","gdpg_lag",0.000395635378393767,-0.00127058434605369,0.00206185510284122,0.622820099103304,"prop_wom"
"Natural Sciences","unemp_lag",-0.000683617894967188,-0.00762639012163402,0.00625915433169965,0.837898494026148,"prop_wom"
"Natural Sciences","gdpg_lag",0.00108985079633768,-0.00493200395102934,0.00711170554370471,0.707311081482512,"prop_wom"
"Other/Unknown","unemp_lag",0.000484979486076393,-0.00167825743810698,0.00264821641025977,0.642227448525975,"prop_wom"
"Other/Unknown","gdpg_lag",0.000304064214696194,-0.00157223218626284,0.00218036061565523,0.736610928470932,"prop_wom"
"Social & Behavioral Sciences","unemp_lag",-0.00201187999214933,-0.0059743148456937,0.00195055486139503,0.299037539099078,"prop_wom"
"Social & Behavioral Sciences","gdpg_lag",0.000182025931218802,-0.00325481548528324,0.00361886734772085,0.912336379388352,"prop_wom"
