"field","term","estimate","conf.low","conf.high","p.value","outcome"
"Arts & Humanities","unemp_lag",-0.00119864701790301,-0.00279988052266314,0.000402586486857128,0.132679062942493,"share_wom"
"Arts & Humanities","gdpg_lag",0.0000574634971193825,-0.0013313758983669,0.00144630289260567,0.931457815523512,"share_wom"
"Business & Management","unemp_lag",0.000455392413755015,-0.000967074542032791,0.00187785936954282,0.508479130841878,"share_wom"
"Business & Management","gdpg_lag",-0.000571359901666943,-0.00180514506860392,0.000662425265270031,0.34224656190958,"share_wom"
"Education","unemp_lag",-0.00164075745689102,-0.00296927048450646,-0.000312244429275577,0.0184613819234263,"share_wom"
"Education","gdpg_lag",0.000212446423712347,-0.000939847245314697,0.00136474009273939,0.702117733933667,"share_wom"
"Engineering","unemp_lag",0.000445310727864265,-0.00186556493719455,0.00275618639292308,0.689399346044855,"share_wom"
"Engineering","gdpg_lag",0.000316583367329962,-0.00168776837285239,0.00232093510751232,0.743026967033295,"share_wom"
"Health & Medical","unemp_lag",0.00274450028656541,-0.000572713201123216,0.00606171377425403,0.0989338616213298,"share_wom"
"Health & Medical","gdpg_lag",-0.000329615621794234,-0.00320682045247293,0.00254758920888446,0.811901993765724,"share_wom"
"Natural Sciences","unemp_lag",0.000451913850119147,-0.000280062629152303,0.0011838903293906,0.210090160054204,"share_wom"
"Natural Sciences","gdpg_lag",0.000126257080392301,-0.000508627068583728,0.00076114122936833,0.680053064151622,"share_wom"
"Other/Unknown","unemp_lag",0.00061926445039041,-0.000696408532311495,0.00193493743309232,0.334609269028798,"share_wom"
"Other/Unknown","gdpg_lag",-0.0000660352774007615,-0.00120719205717167,0.00107512150237014,0.90426045424577,"share_wom"
"Social & Behavioral Sciences","unemp_lag",-0.00187697725390021,-0.00264821041796878,-0.00110574408983163,0.0000827407615898058,"share_wom"
"Social & Behavioral Sciences","gdpg_lag",0.000254260432307946,-0.000414673235504879,0.00092319410012077,0.433656996341719,"share_wom"
