year,area,Total_Men,Total_Women,Total,growth,gdp,unemploy
1995,Business & Management,126365,117366,243731,2.6844307317787,7639749000000,5.65
1995,Education,29414,84478,113892,2.6844307317787,7639749000000,5.65
1995,Engineering,70435,18115,88550,2.6844307317787,7639749000000,5.65
1995,Arts & Humanities,17959,25534,43493,2.6844307317787,7639749000000,5.65
1995,Grand total,535370,647410,1182780,2.6844307317787,7639749000000,5.65
1995,Health & Medical,14763,66818,81581,2.6844307317787,7639749000000,5.65
1995,Arts & Humanities,70006,97788,167794,2.6844307317787,7639749000000,5.65
1995,Natural Sciences,49089,45523,94612,2.6844307317787,7639749000000,5.65
1995,Other/Unknown,83440,86582,170022,2.6844307317787,7639749000000,5.65
1995,Social & Behavioral Sciences,73899,105206,179105,2.6844307317787,7639749000000,5.65
1996,Business & Management,121126,115076,236202,3.77277269119453,8073122000000,5.451
1996,Education,30359,83915,114274,3.77277269119453,8073122000000,5.451
1996,Engineering,69665,18150,87815,3.77277269119453,8073122000000,5.451
1996,Arts & Humanities,18355,25589,43944,3.77277269119453,8073122000000,5.451
1996,Grand total,528791,652846,1181637,3.77277269119453,8073122000000,5.451
1996,Health & Medical,15753,69877,85630,3.77277269119453,8073122000000,5.451
1996,Arts & Humanities,69028,98332,167360,3.77277269119453,8073122000000,5.451
1996,Natural Sciences,51514,48582,100096,3.77277269119453,8073122000000,5.451
1996,Other/Unknown,80406,86722,167128,3.77277269119453,8073122000000,5.451
1996,Social & Behavioral Sciences,72585,106603,179188,3.77277269119453,8073122000000,5.451
1997,Business & Management,120628,114788,235416,4.44712793566428,8577554457000,5
1997,Education,30747,83808,114555,4.44712793566428,8577554457000,5
1997,Engineering,69226,18355,87581,4.44712793566428,8577554457000,5
1997,Arts & Humanities,18901,26115,45016,4.44712793566428,8577554457000,5
1997,Grand total,526047,662338,1188385,4.44712793566428,8577554457000,5
1997,Health & Medical,16182,70901,87083,4.44712793566428,8577554457000,5
1997,Arts & Humanities,68083,97779,165862,4.44712793566428,8577554457000,5
1997,Natural Sciences,51851,51600,103451,4.44712793566428,8577554457000,5
1997,Other/Unknown,79814,90255,170069,4.44712793566428,8577554457000,5
1997,Social & Behavioral Sciences,70615,108737,179352,4.44712793566428,8577554457000,5
1998,Business & Management,124236,117964,242200,4.48313335374613,9062818202000,4.511
1998,Education,31277,85208,116485,4.48313335374613,9062818202000,4.511
1998,Engineering,69661,18720,88381,4.48313335374613,9062818202000,4.511
1998,Arts & Humanities,19634,27181,46815,4.48313335374613,9062818202000,4.511
1998,Grand total,527779,676048,1203827,4.48313335374613,9062818202000,4.511
1998,Health & Medical,15439,70857,86296,4.48313335374613,9062818202000,4.511
1998,Arts & Humanities,68762,101376,170138,4.48313335374613,9062818202000,4.511
1998,Natural Sciences,51370,53514,104884,4.48313335374613,9062818202000,4.511
1998,Other/Unknown,78006,92090,170096,4.48313335374613,9062818202000,4.511
1998,Social & Behavioral Sciences,69394,109138,178532,4.48313335374613,9062818202000,4.511
1999,Business & Management,127095,123735,250830,4.78842504725272,9631174489000,4.219
1999,Education,31582,87252,118834,4.78842504725272,9631174489000,4.219
1999,Engineering,69412,19890,89302,4.78842504725272,9631174489000,4.219
1999,Arts & Humanities,20606,29113,49719,4.78842504725272,9631174489000,4.219
1999,Grand total,528388,694935,1223323,4.78842504725272,9631174489000,4.219
1999,Health & Medical,14928,69552,84480,4.78842504725272,9631174489000,4.219
1999,Arts & Humanities,68362,104168,172530,4.78842504725272,9631174489000,4.219
1999,Natural Sciences,49209,54497,103706,4.78842504725272,9631174489000,4.219
1999,Other/Unknown,79277,95842,175119,4.78842504725272,9631174489000,4.219
1999,Social & Behavioral Sciences,67917,110886,178803,4.78842504725272,9631174489000,4.219
2000,Business & Management,134504,133630,268134,4.07758575682804,10250947997000,3.992
2000,Education,31747,88687,120434,4.07758575682804,10250947997000,3.992
2000,Engineering,73892,22587,96479,4.07758575682804,10250947997000,3.992
2000,Arts & Humanities,22835,32442,55277,4.07758575682804,10250947997000,3.992
2000,Grand total,538795,720436,1259231,4.07758575682804,10250947997000,3.992
2000,Health & Medical,13171,67679,80850,4.07758575682804,10250947997000,3.992
2000,Arts & Humanities,68431,108043,176474,4.07758575682804,10250947997000,3.992
2000,Natural Sciences,47105,54764,101869,4.07758575682804,10250947997000,3.992
2000,Other/Unknown,80041,98733,178774,4.07758575682804,10250947997000,3.992
2000,Social & Behavioral Sciences,67069,113871,180940,4.07758575682804,10250947997000,3.992
2001,Business & Management,144250,142699,286949,0.955538348341605,10581929774000,4.731
2001,Education,31072,90518,121590,0.955538348341605,10581929774000,4.731
2001,Engineering,79643,24315,103958,0.955538348341605,10581929774000,4.731
2001,Arts & Humanities,24292,35033,59325,0.955538348341605,10581929774000,4.731
2001,Grand total,562595,756638,1319233,0.955538348341605,10581929774000,4.731
2001,Health & Medical,12313,63432,75745,0.955538348341605,10581929774000,4.731
2001,Arts & Humanities,74017,120742,194759,0.955538348341605,10581929774000,4.731
2001,Natural Sciences,46663,55867,102530,0.955538348341605,10581929774000,4.731
2001,Other/Unknown,79443,100649,180092,0.955538348341605,10581929774000,4.731
2001,Social & Behavioral Sciences,70902,123383,194285,0.955538348341605,10581929774000,4.731
2002,Business & Management,152613,152846,305459,1.70044732643726,10929112955000,5.783
2002,Education,31013,92380,123393,1.70044732643726,10929112955000,5.783
2002,Engineering,84036,26500,110536,1.70044732643726,10929112955000,5.783
2002,Arts & Humanities,26438,38623,65061,1.70044732643726,10929112955000,5.783
2002,Grand total,583766,791260,1375026,1.70044732643726,10929112955000,5.783
2002,Health & Medical,10739,62255,72994,1.70044732643726,10929112955000,5.783
2002,Arts & Humanities,77238,127421,204659,1.70044732643726,10929112955000,5.783
2002,Natural Sciences,46311,57351,103662,1.70044732643726,10929112955000,5.783
2002,Other/Unknown,81224,104814,186038,1.70044732643726,10929112955000,5.783
2002,Social & Behavioral Sciences,74154,129070,203224,1.70044732643726,10929112955000,5.783
2003,Business & Management,157396,160794,318190,2.79560596320081,11456442041000,5.989
2003,Education,29954,93049,123003,2.79560596320081,11456442041000,5.989
2003,Engineering,95400,29394,124794,2.79560596320081,11456442041000,5.989
2003,Arts & Humanities,26726,41952,68678,2.79560596320081,11456442041000,5.989
2003,Grand total,608377,826350,1434727,2.79560596320081,11456442041000,5.989
2003,Health & Medical,10639,63504,74143,2.79560596320081,11456442041000,5.989
2003,Arts & Humanities,82009,137817,219826,2.79560596320081,11456442041000,5.989
2003,Natural Sciences,46989,59103,106092,2.79560596320081,11456442041000,5.989
2003,Other/Unknown,79584,104529,184113,2.79560596320081,11456442041000,5.989
2003,Social & Behavioral Sciences,79680,136208,215888,2.79560596320081,11456442041000,5.989
2004,Business & Management,165769,168305,334074,3.84777169556921,12217193198000,5.529
2004,Education,30719,93867,124586,3.84777169556921,12217193198000,5.529
2004,Engineering,99002,29061,128063,3.84777169556921,12217193198000,5.529
2004,Arts & Humanities,28874,45613,74487,3.84777169556921,12217193198000,5.529
2004,Grand total,633680,858505,1492185,3.84777169556921,12217193198000,5.529
2004,Health & Medical,10594,66139,76733,3.84777169556921,12217193198000,5.529
2004,Arts & Humanities,85787,143563,229350,3.84777169556921,12217193198000,5.529
2004,Natural Sciences,48120,60939,109059,3.84777169556921,12217193198000,5.529
2004,Other/Unknown,79953,107927,187880,3.84777169556921,12217193198000,5.529
2004,Social & Behavioral Sciences,84862,143091,227953,3.84777169556921,12217193198000,5.529
2005,Business & Management,169367,169185,338552,3.48354993555606,13039199193000,5.084
2005,Education,30781,94057,124838,3.48354993555606,13039199193000,5.084
2005,Engineering,98482,26136,124618,3.48354993555606,13039199193000,5.084
